Found Emojis:
Name: mmmmmmmmm | ID: 1176627285986652232
Name: ayolyani | ID: 1176640469896282202
Name: yabisgamk | ID: 1176640558157009107
Name: emoji_5 | ID: 1176640656609923073
Name: yiaaa | ID: 1176640729293004871
Name: 31ci_irem | ID: 1176640775715573811
Name: yakbabayak | ID: 1176810559589601280
Name: yamateh | ID: 1176810635175137380
Name: narboys | ID: 1176810702107844689
Name: Babalarszntutar | ID: 1176810784261689435
Name: emoji_12 | ID: 1176810838737305600
Name: emoji_13 | ID: 1176810942823137291
Name: uwu | ID: 1176811068589363262
Name: emoji_15 | ID: 1176928916481527828
Name: otuzbirtsayfa | ID: 1176936696462442556
Name: emoji_17 | ID: 1176936962804945017
Name: neyebakyonaq | ID: 1177279129809330186
Name: buyurkardesss | ID: 1177279968389107713
Name: hayrdrkarde | ID: 1177346234718093443
Name: instagram | ID: 1178427028144406590
Name: discord | ID: 1178427108586946650
Name: twich | ID: 1178429832422498474
Name: emoji_24 | ID: 1178596632795811880
Name: emoji_26 | ID: 1178596720276406282
Name: emoji_27 | ID: 1178597354035761182
Name: emoji_28 | ID: 1178597396628906036
Name: emoji_28 | ID: 1178597428203626677
Name: emoji_31 | ID: 1178597482540838972
Name: emoji_32 | ID: 1178597533338054757
Name: emoji_32 | ID: 1178597555492372550
Name: emoji_34 | ID: 1178597654037540894
Name: emoji_35 | ID: 1178597679887040542
Name: emoji_35 | ID: 1178597704218181652
Name: emoji_37 | ID: 1178597733108568115
Name: emoji_38 | ID: 1178597766734282872
Name: emoji_38 | ID: 1178597793183580293
Name: emoji_40 | ID: 1178597822862463036
Name: emoji_40 | ID: 1178597856538542130
Name: emoji_42 | ID: 1178597941938749512
Name: emoji_43 | ID: 1178597975111507998
Name: emoji_43 | ID: 1178598013296455680
Name: emoji_45 | ID: 1178598081386790963
Name: emoji_46 | ID: 1178601800325152808
Name: emoji_45 | ID: 1178754323086311476
Name: emoji_46 | ID: 1178754384545452185
Name: emoji_46 | ID: 1178754407115001866
Name: emoji_48 | ID: 1178754460319748247
Name: emoji_49 | ID: 1178754561041760356
Name: emoji_50 | ID: 1178754585322602506
Name: emoji_51 | ID: 1178754659146539098
Name: emoji_52 | ID: 1178754702305919028
Name: emoji_53 | ID: 1178754725601087598
Name: emoji_54 | ID: 1178754840004939829
Name: emoji_54 | ID: 1178754881130078228
Name: emoji_56 | ID: 1178754951938314360
Name: emoji_57 | ID: 1178755007902916703
Name: emoji_58 | ID: 1203023697686822993
Name: plskrt | ID: 1203023876313976942
Name: emoji_60 | ID: 1203024008652787743
Name: emoji_61 | ID: 1203024282016546937
Name: emoji_62 | ID: 1203025052661194752
Name: emoji_63 | ID: 1203025108575322123
Name: emoji_64 | ID: 1203025188615233546
Name: parammvarlan | ID: 1203025271675162694
Name: galp | ID: 1203025655516893314
Name: admin | ID: 1353723651282702407
Name: Angry | ID: 1353723657217642608
Name: anibanned | ID: 1353723663874261054
Name: animeangry | ID: 1353723669595291648
Name: aquacry | ID: 1353723675358007438
Name: arrow | ID: 1353723680873779271
Name: AwOo | ID: 1353723686368186379
Name: awoothink | ID: 1353723692215173141
Name: baka | ID: 1353723697952723045
Name: banned | ID: 1353723703527080048
Name: blushwow | ID: 1353723709159903356
Name: booster | ID: 1353723716793663521
Name: checkmark | ID: 1353723723299033160
Name: checkroxo | ID: 1353723728894361650
Name: communist | ID: 1353723733969342575
Name: dan | ID: 1353723740214530121
Name: designer | ID: 1353723746023641179
Name: developer | ID: 1353723751950450779
Name: editor | ID: 1353723757230948423
Name: fingerwave | ID: 1353723763145052221
Name: flandre_concerned | ID: 1353723769210011688
Name: GatoXD | ID: 1353723775237099573
Name: hello | ID: 1353723784447918090
Name: httpsdiscordggmd | ID: 1353723790097649675
Name: kid | ID: 1353723797534019614
Name: loading | ID: 1353723803791917176
Name: madblob | ID: 1353723809496043601
Name: member | ID: 1353723814776668171
Name: moderator | ID: 1353723820976115712
Name: NepSmug | ID: 1353723826776838215
Name: Neysi | ID: 1353723832346611765
Name: ohmy | ID: 1353723838302523402
Name: owner | ID: 1353723843713306787
Name: parrot | ID: 1353723849744580681
Name: partner | ID: 1353723855092584520
Name: pepecowboy | ID: 1353723861065273344
Name: robloxmanface | ID: 1353723866857476168
Name: Ryukosip | ID: 1353723872691748864
Name: SagiriShy | ID: 1353723878337282098
Name: staff | ID: 1353723884469489696
Name: streamer | ID: 1353723890010161244
Name: trialmod | ID: 1353723896045768814
Name: twitchpartner | ID: 1353723901623930902
Name: unchecked | ID: 1353723907114405938
Name: valorant | ID: 1353723912302886946
Name: verified | ID: 1353723918518587485
Name: Verify | ID: 1353723924310921289
Name: videocreator | ID: 1353723930048987219
Name: viral | ID: 1353723935396466729
Name: welcome | ID: 1353723941964877896
Name: _carregando_3_ | ID: 1353738755088978053
Name: _dance_ | ID: 1353738760872787978
Name: mono_web_v2 | ID: 1530489603046506514
Name: mono_instagram_v2 | ID: 1530489604749398128
Name: mono_youtube_v2 | ID: 1530489607311851530
Name: mono_x_v2 | ID: 1530489609476116490
Name: emoji_53 | ID: 1537743413976371291
